Node Count, Run, T-init, T-total
1, 1, 1.484148, 2.547647
1, 2, 1.480100, 2.676078
1, 3, 1.483200, 2.661186
2, 1, 5.707283, 10.490020
2, 2, 4.490601, 7.517089
2, 3, 6.057532, 10.729937
4, 1, 3.761162, 7.411241
4, 2, 3.386169, 7.259664
4, 3, 4.013744, 7.403155
8, 1, 2.413992, 4.450483
8, 2, 2.396794, 4.359802
8, 3, 2.558547, 4.585159
