Node Count, Run, T-init, T-total
1, 1, 0.052570, 0.112606
1, 2, 0.053559, 0.106330
1, 3, 0.051030, 0.123740
2, 1, 0.292205, 0.647232
2, 2, 0.219339, 0.486521
2, 3, 0.319707, 0.694368
4, 1, 0.139083, 0.592237
4, 2, 0.234057, 0.586570
4, 3, 0.177807, 0.596716
8, 1, 0.192680, 0.450241
8, 2, 0.154232, 0.410729
8, 3, 0.154345, 0.417321
