Node Count, Run, T-init, T-total
1, 1, 0.051346, 0.117063
1, 2, 0.049802, 0.120176
1, 3, 0.049521, 0.127370
2, 1, 0.198715, 0.467045
2, 2, 0.336379, 0.682015
2, 3, 0.262714, 0.603911
4, 1, 0.183651, 0.547587
4, 2, 0.233804, 0.593228
4, 3, 0.192139, 0.550564
8, 1, 0.132993, 0.362839
8, 2, 0.152815, 0.379469
8, 3, 0.129262, 0.349937
