Tasks, Run, T-init, T-total
1, 1, 0.667747, 2.372704
1, 2, 0.646916, 2.340754
1, 3, 0.665320, 2.378807
10, 1, 0.145976, 0.380747
10, 2, 0.145624, 0.411986
10, 3, 0.149991, 0.375699
20, 1, 0.093931, 0.246548
20, 2, 0.093465, 0.237624
20, 3, 0.093828, 0.239078
30, 1, 0.072895, 0.176881
30, 2, 0.071708, 0.182891
30, 3, 0.071852, 0.183136
40, 1, 0.060542, 0.140598
40, 2, 0.058764, 0.155412
40, 3, 0.061158, 0.143688
50, 1, 0.056695, 0.122259
50, 2, 0.056696, 0.138291
50, 3, 0.055921, 0.132097
60, 1, 0.049089, 0.128248
60, 2, 0.051886, 0.111149
60, 3, 0.051575, 0.115926
64, 1, 0.051071, 0.103339
64, 2, 0.050877, 0.106557
64, 3, 0.048610, 0.111258
